Year,Team1,Team2,Goals_Team1,Goals_Team2,FIFA_Ranking_Team1,FIFA_Ranking_Team2,Avg_Age_Team1,Avg_Age_Team2,Experience_Team1,Experience_Team2,Possession_Team1,Possession_Team2,Shots_On_Target_T1,Shots_On_Target_T2,Past_WC_Performance_T1,Past_WC_Performance_T2,Winner,Team1_Win,Goal_Diff,Rank_Diff,Age_Diff,Exp_Diff,Poss_Diff,ShotsOT_Diff,PastPerf_Diff
2002,England,Czech Republic,1,1,28,38,26.1,29.8,10,6,58.4,41.2,8,5,0,0,Draw,0,0,10,-3.6999999999999993,4,17.199999999999996,3,0
2002,Poland,USA,2,0,65,48,24.7,26.8,4,3,59.5,49.0,9,3,4,2,Poland,1,2,-17,-2.1000000000000014,1,10.5,6,2
2002,Portugal,Turkey,2,2,45,27,24.8,25.8,10,4,44.4,44.1,7,1,2,5,Draw,0,0,-18,-1.0,6,0.29999999999999716,6,-3
2002,Czech Republic,Italy,1,0,68,20,27.6,28.7,9,2,44.2,51.3,7,8,5,4,Czech Republic,1,1,-48,-1.0999999999999979,7,-7.099999999999994,-1,1
2002,South Korea,Paraguay,2,1,7,12,26.9,26.7,10,1,55.1,53.0,8,1,2,4,South Korea,1,1,5,0.1999999999999993,9,2.1000000000000014,7,-2
2002,France,Nigeria,2,2,49,43,28.0,24.9,10,8,45.1,46.1,6,2,0,0,Draw,0,0,-6,3.1000000000000014,2,-1.0,4,0
2002,Ghana,Russia,0,1,9,61,23.7,24.5,1,1,57.9,49.2,8,9,5,5,Russia,0,-1,52,-0.8000000000000007,0,8.699999999999996,-1,0
2002,USA,Croatia,1,3,36,31,27.0,30.1,2,1,51.5,45.6,9,0,5,0,Croatia,0,-2,-5,-3.1000000000000014,1,5.899999999999999,9,5
2002,Portugal,South Korea,1,0,83,91,31.2,27.3,5,4,47.0,47.4,1,6,4,5,Portugal,1,1,8,3.8999999999999986,1,-0.3999999999999986,-5,-1
2002,Iran,Belgium,6,0,1,96,26.3,25.8,3,10,56.7,43.2,5,0,2,0,Iran,1,6,95,0.5,-7,13.5,5,2
2002,Germany,Portugal,1,1,10,61,28.6,26.5,2,10,49.9,57.7,2,10,2,2,Draw,0,0,51,2.1000000000000014,-8,-7.800000000000004,-8,0
2002,Switzerland,Uruguay,0,0,36,74,28.6,28.6,1,6,58.2,40.2,10,8,2,4,Draw,0,0,38,0.0,-5,18.0,2,-2
2002,Saudi Arabia,Japan,2,3,73,67,28.7,26.4,10,9,58.6,57.6,5,10,4,1,Japan,0,-1,-6,2.3000000000000007,1,1.0,-5,3
2002,England,Greece,3,1,46,91,27.3,24.1,3,1,43.3,51.4,2,10,5,1,England,1,2,45,3.1999999999999993,2,-8.100000000000001,-8,4
2002,Netherlands,England,6,1,32,35,28.1,27.7,1,7,40.0,46.6,7,0,0,4,Netherlands,1,5,3,0.40000000000000213,-6,-6.600000000000001,7,-4
2002,Paraguay,Mexico,1,2,32,95,28.4,29.4,1,10,59.7,54.5,10,4,2,4,Mexico,0,-1,63,-1.0,-9,5.200000000000003,6,-2
2002,USA,Tunisia,0,1,6,15,28.3,29.3,1,5,58.1,50.2,3,6,3,4,Tunisia,0,-1,9,-1.0,-4,7.899999999999999,-3,-1
2002,Japan,Portugal,3,0,48,16,24.8,25.9,8,8,41.1,50.0,9,2,4,4,Japan,1,3,-32,-1.0999999999999979,0,-8.899999999999999,7,0
2002,Senegal,Morocco,5,1,38,13,23.6,29.5,3,7,56.7,42.2,5,8,1,5,Senegal,1,4,-25,-5.899999999999999,-4,14.5,-3,-4
2002,Tunisia,Germany,2,0,17,35,23.9,27.4,1,4,49.2,47.8,8,7,0,2,Tunisia,1,2,18,-3.5,-3,1.4000000000000057,1,-2
2002,France,Italy,2,0,74,75,26.5,29.5,7,4,45.2,44.8,1,2,3,1,France,1,2,1,-3.0,3,0.4000000000000057,-1,2
2002,Germany,Russia,2,1,27,59,28.2,28.1,10,6,57.6,40.3,1,4,2,3,Germany,1,1,32,0.09999999999999787,4,17.300000000000004,-3,-1
2002,Spain,Ukraine,2,0,54,21,24.8,24.0,3,6,43.9,47.2,6,6,1,1,Spain,1,2,-33,0.8000000000000007,-3,-3.3000000000000043,0,0
2002,France,Greece,3,1,50,54,28.8,30.5,8,9,58.9,41.8,1,3,0,1,France,1,2,4,-1.6999999999999993,-1,17.1,-2,-1
2002,Russia,Australia,2,0,35,75,26.0,27.1,4,5,44.1,45.1,1,4,4,0,Russia,1,2,40,-1.1000000000000014,-1,-1.0,-3,4
2002,South Korea,Netherlands,2,2,85,30,26.0,28.2,4,8,52.3,41.9,3,2,1,4,Draw,0,0,-55,-2.1999999999999993,-4,10.399999999999999,1,-3
2002,Iran,Brazil,2,1,25,48,25.3,24.3,5,5,44.5,42.0,8,8,5,4,Iran,1,1,23,1.0,0,2.5,0,1
2002,Colombia,Chile,4,1,28,35,23.2,28.0,6,2,50.9,44.0,7,9,1,4,Colombia,1,3,7,-4.800000000000001,4,6.899999999999999,-2,-3
2002,Uruguay,Japan,2,1,15,86,27.5,29.2,7,6,53.7,60.0,1,8,3,0,Uruguay,1,1,71,-1.6999999999999993,1,-6.299999999999997,-7,3
2002,Senegal,England,1,2,4,38,30.4,30.9,4,9,43.8,40.0,7,6,0,2,England,0,-1,34,-0.5,-5,3.799999999999997,1,-2
2002,USA,Ghana,1,1,93,31,26.9,29.8,8,3,50.4,52.8,3,9,3,2,Draw,0,0,-62,-2.900000000000002,5,-2.3999999999999986,-6,1
2002,Turkey,France,0,1,73,78,23.3,28.1,6,1,49.4,42.8,1,1,3,3,France,0,-1,5,-4.800000000000001,5,6.600000000000001,0,0
2002,Sweden,Senegal,1,3,27,24,28.6,23.9,1,1,41.4,58.4,10,6,2,2,Senegal,0,-2,-3,4.700000000000003,0,-17.0,4,0
2002,Netherlands,Spain,1,1,26,49,23.8,27.3,1,3,56.4,41.9,9,6,4,2,Draw,0,0,23,-3.5,-2,14.5,3,2
2002,USA,Turkey,2,2,19,96,24.6,25.8,9,10,46.7,59.1,6,10,1,4,Draw,0,0,77,-1.1999999999999993,-1,-12.399999999999999,-4,-3
2002,Nigeria,Australia,3,1,92,100,26.5,27.5,10,5,51.5,52.2,5,4,0,5,Nigeria,1,2,8,-1.0,5,-0.7000000000000028,1,-5
2002,Tunisia,Czech Republic,2,3,17,32,27.2,24.6,6,3,50.3,40.0,9,8,5,1,Czech Republic,0,-1,15,2.599999999999998,3,10.299999999999997,1,4
2002,Poland,Morocco,0,1,43,55,25.0,26.6,10,9,50.3,57.9,4,10,4,2,Morocco,0,-1,12,-1.6000000000000014,1,-7.600000000000001,-6,2
2002,Denmark,Uruguay,1,0,41,79,26.4,26.0,8,8,42.1,50.4,10,2,4,2,Denmark,1,1,38,0.3999999999999986,0,-8.299999999999997,8,2
2002,South Korea,Iran,4,1,42,58,28.4,25.9,7,3,48.5,45.3,0,3,0,0,South Korea,1,3,16,2.5,4,3.200000000000003,-3,0
2002,Cameroon,Australia,3,2,50,99,28.7,25.9,6,9,49.0,55.3,1,0,4,3,Cameroon,1,1,49,2.8000000000000007,-3,-6.299999999999997,1,1
2002,Iran,Czech Republic,1,0,84,3,29.5,26.7,4,6,54.7,58.5,7,5,2,5,Iran,1,1,-81,2.8000000000000007,-2,-3.799999999999997,2,-3
2002,Ghana,Argentina,1,1,40,80,30.8,27.6,7,7,56.8,49.7,0,3,4,0,Draw,0,0,40,3.1999999999999993,0,7.099999999999994,-3,4
2002,Russia,Mexico,3,4,39,69,28.6,22.0,9,4,50.9,46.3,2,0,2,4,Mexico,0,-1,30,6.600000000000001,5,4.600000000000001,2,-2
2002,Sweden,Saudi Arabia,2,0,23,85,26.6,22.2,10,4,41.7,55.8,1,1,1,1,Sweden,1,2,62,4.400000000000002,6,-14.099999999999994,0,0
2002,Brazil,Switzerland,1,3,96,10,28.7,26.3,10,2,44.7,53.6,4,2,1,3,Switzerland,0,-2,-86,2.3999999999999986,8,-8.899999999999999,2,-2
2002,Ghana,Saudi Arabia,2,0,52,83,27.9,26.6,7,5,43.3,57.8,3,8,3,0,Ghana,1,2,31,1.2999999999999972,2,-14.5,-5,3
2002,England,Netherlands,0,0,47,25,28.0,27.4,1,8,42.5,53.9,6,7,2,2,Draw,0,0,-22,0.6000000000000014,-7,-11.399999999999999,-1,0
2006,Portugal,Czech Republic,0,2,63,68,27.4,25.5,10,7,47.3,44.9,4,6,5,2,Czech Republic,0,-2,5,1.8999999999999986,3,2.3999999999999986,-2,3
2006,Cameroon,Brazil,0,1,97,61,25.2,27.0,9,7,44.6,58.6,7,10,1,3,Brazil,0,-1,-36,-1.8000000000000007,2,-14.0,-3,-2
2006,Brazil,Argentina,1,1,69,29,24.9,27.3,4,6,44.4,42.1,3,3,4,2,Draw,0,0,-40,-2.400000000000002,-2,2.299999999999997,0,2
2006,Netherlands,Mexico,0,3,43,19,26.8,25.5,3,3,41.1,45.4,5,0,0,0,Mexico,0,-3,-24,1.3000000000000007,0,-4.299999999999997,5,0
2006,Cameroon,Saudi Arabia,3,0,48,43,27.3,29.0,4,5,40.4,50.4,3,7,0,0,Cameroon,1,3,-5,-1.6999999999999993,-1,-10.0,-4,0
2006,Croatia,Ghana,2,0,34,66,25.6,27.4,4,1,42.1,51.3,1,3,2,2,Croatia,1,2,32,-1.7999999999999972,3,-9.199999999999996,-2,0
2006,Japan,Ecuador,5,1,40,74,27.8,28.1,10,7,43.4,40.3,0,2,5,2,Japan,1,4,34,-0.3000000000000007,3,3.1000000000000014,-2,3
2006,Netherlands,Greece,4,1,75,61,31.2,27.1,2,9,48.6,55.6,0,8,3,4,Netherlands,1,3,-14,4.099999999999998,-7,-7.0,-8,-1
2006,Paraguay,Spain,1,1,61,43,23.5,31.2,1,1,50.2,47.2,7,9,4,1,Draw,0,0,-18,-7.699999999999999,0,3.0,-2,3
2006,Paraguay,Costa Rica,3,2,50,25,28.2,28.2,10,2,42.8,48.1,3,3,2,3,Paraguay,1,1,-25,0.0,8,-5.300000000000004,0,-1
2006,Ecuador,Poland,1,0,67,20,26.9,26.0,1,3,48.5,56.2,4,3,0,0,Ecuador,1,1,-47,0.8999999999999986,-2,-7.700000000000003,1,0
2006,Italy,Denmark,1,1,62,48,27.9,28.6,8,3,46.8,47.6,10,8,2,3,Draw,0,0,-14,-0.7000000000000028,5,-0.8000000000000043,2,-1
2006,Czech Republic,Poland,0,0,58,83,26.1,23.7,2,8,43.7,40.9,7,10,4,4,Draw,0,0,25,2.400000000000002,-6,2.8000000000000043,-3,0
2006,Saudi Arabia,Croatia,3,1,33,87,26.7,27.2,10,7,40.1,43.5,6,1,5,0,Saudi Arabia,1,2,54,-0.5,3,-3.3999999999999986,5,5
2006,England,Ukraine,2,2,75,24,27.3,27.6,5,6,49.3,59.1,7,4,5,4,Draw,0,0,-51,-0.3000000000000007,-1,-9.800000000000004,3,1
2006,Portugal,Senegal,2,1,16,11,26.4,27.3,4,10,53.7,41.4,7,3,1,4,Portugal,1,1,-5,-0.9000000000000021,-6,12.300000000000004,4,-3
2006,Netherlands,Paraguay,3,1,82,98,24.0,26.3,8,10,44.5,47.1,5,8,4,5,Netherlands,1,2,16,-2.3000000000000007,-2,-2.6000000000000014,-3,-1
2006,Belgium,Australia,2,3,94,55,26.5,25.0,2,4,42.6,50.1,9,4,1,2,Australia,0,-1,-39,1.5,-2,-7.5,5,-1
2006,Colombia,Switzerland,3,0,48,28,24.2,25.4,10,9,57.7,49.9,1,8,1,5,Colombia,1,3,-20,-1.1999999999999993,1,7.800000000000004,-7,-4
2006,Ecuador,South Korea,2,1,10,69,28.3,27.2,9,1,45.5,40.1,5,10,1,3,Ecuador,1,1,59,1.1000000000000014,8,5.399999999999999,-5,-2
2006,Nigeria,USA,2,0,82,63,23.3,24.8,7,2,44.5,50.0,0,8,2,3,Nigeria,1,2,-19,-1.5,5,-5.5,-8,-1
2006,Cameroon,Sweden,0,1,38,59,29.1,30.5,7,4,57.1,47.7,0,1,0,2,Sweden,0,-1,21,-1.3999999999999986,3,9.399999999999999,-1,-2
2006,Ukraine,Turkey,2,2,19,5,27.9,21.7,1,3,56.3,59.4,10,8,5,5,Draw,0,0,-14,6.199999999999999,-2,-3.1000000000000014,2,0
2006,Paraguay,Brazil,0,0,36,51,27.9,26.4,2,1,49.0,43.2,2,2,2,3,Draw,0,0,15,1.5,1,5.799999999999997,0,-1
2006,Tunisia,Argentina,0,1,59,21,22.7,27.2,4,5,49.8,47.1,2,3,0,5,Argentina,0,-1,-38,-4.5,-1,2.6999999999999957,-1,-5
2006,Chile,Denmark,0,1,63,12,26.3,28.0,4,7,44.4,48.4,10,0,5,2,Denmark,0,-1,-51,-1.6999999999999993,-3,-4.0,10,3
2006,Morocco,Nigeria,0,6,77,50,29.3,25.2,3,2,41.6,47.8,4,0,4,0,Nigeria,0,-6,-27,4.100000000000001,1,-6.199999999999996,4,4
2006,Paraguay,Croatia,2,2,46,4,26.0,29.3,7,5,51.5,53.3,0,0,5,4,Draw,0,0,-42,-3.3000000000000007,2,-1.7999999999999972,0,1
2006,Brazil,Belgium,1,1,3,42,24.8,24.2,8,6,42.0,44.3,9,8,5,4,Draw,0,0,39,0.6000000000000014,2,-2.299999999999997,1,1
2006,Paraguay,Uruguay,1,0,74,84,25.7,25.9,2,7,49.0,44.4,5,10,5,5,Paraguay,1,1,10,-0.1999999999999993,-5,4.600000000000001,-5,0
2006,Ukraine,Costa Rica,1,0,65,38,26.9,28.2,4,1,58.8,54.6,6,7,3,3,Ukraine,1,1,-27,-1.3000000000000007,3,4.199999999999996,-1,0
2006,USA,Denmark,1,0,91,25,25.3,29.1,3,7,59.1,50.0,9,4,4,5,USA,1,1,-66,-3.8000000000000007,-4,9.100000000000001,5,-1
2006,Argentina,Netherlands,3,0,8,14,29.5,24.2,2,4,44.8,48.3,10,4,2,5,Argentina,1,3,6,5.300000000000001,-2,-3.5,6,-3
2006,Brazil,Greece,1,0,51,75,26.9,32.3,6,8,52.5,43.4,2,8,2,1,Brazil,1,1,24,-5.399999999999999,-2,9.100000000000001,-6,1
2006,Italy,Belgium,0,1,81,32,25.9,25.2,4,4,49.5,43.8,3,2,0,4,Belgium,0,-1,-49,0.6999999999999993,0,5.700000000000003,1,-4
2006,Iran,Cameroon,1,1,73,11,24.4,24.4,6,6,57.5,40.2,9,2,2,2,Draw,0,0,-62,0.0,0,17.299999999999997,7,0
2006,USA,Saudi Arabia,2,0,6,61,28.0,28.0,2,9,45.4,41.8,10,6,1,5,USA,1,2,55,0.0,-7,3.6000000000000014,4,-4
2006,Czech Republic,Netherlands,6,2,89,18,27.9,26.3,4,5,40.1,51.1,9,8,5,1,Czech Republic,1,4,-71,1.5999999999999979,-1,-11.0,1,4
2006,Morocco,Saudi Arabia,0,2,39,27,25.4,26.0,6,4,43.3,57.8,9,5,2,1,Saudi Arabia,0,-2,-12,-0.6000000000000014,2,-14.5,4,1
2006,Portugal,Senegal,2,2,60,55,22.5,28.2,5,8,47.0,45.7,9,1,0,4,Draw,0,0,-5,-5.699999999999999,-3,1.2999999999999972,8,-4
2006,Sweden,Iran,1,2,28,54,27.8,23.9,3,9,46.3,46.6,9,0,0,4,Iran,0,-1,26,3.900000000000002,-6,-0.30000000000000426,9,-4
2006,Sweden,Netherlands,0,1,97,82,26.6,23.6,8,4,55.8,42.3,2,1,1,4,Netherlands,0,-1,-15,3.0,4,13.5,1,-3
2006,Iran,Saudi Arabia,1,2,54,87,27.7,25.8,7,3,53.6,47.8,0,0,0,2,Saudi Arabia,0,-1,33,1.8999999999999986,4,5.800000000000004,0,-2
2006,Mexico,Saudi Arabia,4,0,37,75,30.9,29.2,3,8,46.0,40.7,7,9,3,1,Mexico,1,4,38,1.6999999999999993,-5,5.299999999999997,-2,2
2006,Costa Rica,Ukraine,2,0,9,21,26.9,25.9,6,5,49.2,58.4,9,9,5,3,Costa Rica,1,2,12,1.0,1,-9.199999999999996,0,2
2006,Czech Republic,Senegal,1,2,82,44,26.0,30.2,4,2,41.9,53.5,9,8,5,2,Senegal,0,-1,-38,-4.199999999999999,2,-11.600000000000001,1,3
2006,Costa Rica,Morocco,3,0,56,5,24.7,29.4,5,10,58.0,59.8,1,9,5,0,Costa Rica,1,3,-51,-4.699999999999999,-5,-1.7999999999999972,-8,5
2006,France,Japan,2,1,59,87,26.4,27.6,5,9,58.7,57.7,0,7,4,5,France,1,1,28,-1.2000000000000028,-4,1.0,-7,-1
2006,Serbia,Portugal,3,1,85,41,27.3,27.7,7,3,59.6,49.5,7,6,2,4,Serbia,1,2,-44,-0.3999999999999986,4,10.100000000000001,1,-2
2006,Ukraine,Ecuador,1,1,2,59,27.1,27.6,5,2,57.4,50.4,6,2,3,1,Draw,0,0,57,-0.5,3,7.0,4,2
2006,Nigeria,Switzerland,0,2,61,89,30.4,27.3,3,1,43.5,43.8,6,7,2,5,Switzerland,0,-2,28,3.099999999999998,2,-0.29999999999999716,-1,-3
2006,Czech Republic,Mexico,1,1,58,54,28.0,26.3,10,8,40.9,49.2,3,1,3,2,Draw,0,0,-4,1.6999999999999993,2,-8.300000000000004,2,1
2006,Sweden,Saudi Arabia,3,0,60,74,26.7,26.5,5,3,51.6,58.1,10,1,2,0,Sweden,1,3,14,0.1999999999999993,2,-6.5,9,2
2006,Senegal,Mexico,1,1,36,83,27.5,22.6,5,1,43.5,57.3,5,9,0,2,Draw,0,0,47,4.899999999999999,4,-13.799999999999997,-4,-2
2006,Mexico,Paraguay,2,0,37,65,25.2,29.2,5,1,40.1,46.8,1,2,0,3,Mexico,1,2,28,-4.0,4,-6.699999999999996,-1,-3
2006,Costa Rica,Spain,2,2,79,64,27.4,27.3,9,9,56.1,58.0,0,6,1,5,Draw,0,0,-15,0.09999999999999787,0,-1.8999999999999986,-6,-4
2006,England,South Korea,4,0,92,71,28.0,27.0,3,8,41.5,58.8,0,0,3,3,England,1,4,-21,1.0,-5,-17.299999999999997,0,0
2006,Chile,Italy,3,2,18,4,26.6,27.8,6,3,48.3,53.4,8,7,4,2,Chile,1,1,-14,-1.1999999999999993,3,-5.100000000000001,1,2
2006,Saudi Arabia,Ghana,1,2,98,65,25.7,25.3,1,6,53.6,53.3,3,6,3,0,Ghana,0,-1,-33,0.3999999999999986,-5,0.30000000000000426,-3,3
2006,Spain,Uruguay,0,2,22,76,29.3,26.4,5,4,41.7,56.7,2,4,4,1,Uruguay,0,-2,54,2.900000000000002,1,-15.0,-2,3
2006,Saudi Arabia,Serbia,1,1,11,22,27.8,29.7,8,1,55.4,59.2,3,9,2,5,Draw,0,0,11,-1.8999999999999986,7,-3.8000000000000043,-6,-3
2006,Saudi Arabia,Italy,1,1,58,86,27.9,24.7,5,5,52.6,55.5,7,0,4,4,Draw,0,0,28,3.1999999999999993,0,-2.8999999999999986,7,0
2006,Switzerland,Ecuador,1,1,57,47,23.9,21.7,9,1,59.8,52.4,3,3,3,4,Draw,0,0,-10,2.1999999999999993,8,7.399999999999999,0,-1
2006,Serbia,Brazil,4,1,77,81,29.8,26.0,6,1,46.9,52.1,8,0,1,1,Serbia,1,3,4,3.8000000000000007,5,-5.200000000000003,8,0
2006,Croatia,South Korea,1,2,4,93,26.1,29.3,8,10,41.2,57.0,8,0,2,2,South Korea,0,-1,89,-3.1999999999999993,-2,-15.799999999999997,8,0
2006,Saudi Arabia,Costa Rica,1,2,86,46,26.4,23.5,10,7,54.7,50.8,5,9,3,2,Costa Rica,0,-1,-40,2.8999999999999986,3,3.9000000000000057,-4,1
2006,Ghana,Croatia,2,1,7,14,24.9,24.6,8,6,50.4,56.1,1,0,2,3,Ghana,1,1,7,0.29999999999999716,2,-5.700000000000003,1,-1
2006,Czech Republic,Poland,0,0,61,50,23.4,27.5,3,2,44.3,50.2,9,6,4,5,Draw,0,0,-11,-4.100000000000001,1,-5.900000000000006,3,-1
2006,Ecuador,Iran,0,1,54,20,29.3,32.1,7,2,55.6,41.2,10,6,0,3,Iran,0,-1,-34,-2.8000000000000007,5,14.399999999999999,4,-3
2006,Brazil,Ghana,1,0,88,50,29.6,24.3,7,7,44.1,47.7,6,3,3,4,Brazil,1,1,-38,5.300000000000001,0,-3.6000000000000014,3,-1
2006,Morocco,Chile,0,1,68,33,26.7,24.2,10,1,45.2,48.9,8,1,1,1,Chile,0,-1,-35,2.5,9,-3.6999999999999957,7,0
2006,Mexico,Morocco,1,3,92,59,25.6,27.7,6,2,41.9,42.8,5,2,4,2,Morocco,0,-2,-33,-2.099999999999998,4,-0.8999999999999986,3,2
2006,Argentina,Mexico,1,0,79,43,26.2,29.4,7,8,48.0,42.0,2,7,3,1,Argentina,1,1,-36,-3.1999999999999993,-1,6.0,-5,2
2006,Czech Republic,Ecuador,1,1,1,79,26.3,25.8,2,6,48.4,50.7,6,7,1,0,Draw,0,0,78,0.5,-4,-2.3000000000000043,-1,1
2006,Spain,Colombia,2,2,55,12,24.6,23.8,9,2,50.3,41.7,4,10,3,1,Draw,0,0,-43,0.8000000000000007,7,8.599999999999994,-6,2
2006,Netherlands,Paraguay,0,1,3,40,26.4,27.9,10,7,54.2,46.1,0,10,4,0,Paraguay,0,-1,37,-1.5,3,8.100000000000001,-10,4
2006,Morocco,Brazil,2,2,78,20,27.3,28.2,10,4,58.1,54.9,2,5,3,3,Draw,0,0,-58,-0.8999999999999986,6,3.200000000000003,-3,0
2006,Portugal,Poland,2,1,38,94,29.0,30.6,1,2,42.8,59.3,4,9,2,3,Portugal,1,1,56,-1.6000000000000014,-1,-16.5,-5,-1
2010,Ukraine,Spain,3,4,1,38,27.0,28.3,1,6,41.1,54.4,6,8,4,4,Spain,0,-1,37,-1.3000000000000007,-5,-13.299999999999997,-2,0
2010,Ecuador,Saudi Arabia,0,2,38,3,23.8,28.7,3,9,40.4,59.9,2,10,3,1,Saudi Arabia,0,-2,-35,-4.899999999999999,-6,-19.5,-8,2
