Year,Team1,Team2,Goals_Team1,Goals_Team2,Winner,FIFA_Ranking_Team1,FIFA_Ranking_Team2,Avg_Age_Team1,Avg_Age_Team2,Experience_Team1,Experience_Team2,Possession_Team1,Possession_Team2,Shots_On_Target_T1,Shots_On_Target_T2,Past_WC_Performance_T1,Past_WC_Performance_T2
2002,USA,Ghana,1,1,Draw,27,49,28.8,21.1,2,7,41.3,40.4,4,9,0,3
2002,Turkey,France,0,1,France,26,96,27.2,31.1,5,4,52.2,52.6,6,4,3,1
2002,Sweden,Senegal,1,3,Senegal,19,32,29.5,29.2,4,2,59.7,43.3,3,1,1,2
2002,Netherlands,Spain,1,1,Draw,92,55,25.3,26.2,8,6,47.2,51.3,8,8,1,1
2002,USA,Turkey,2,2,Draw,17,79,28.1,27.0,2,9,55.1,50.1,6,2,4,0
2002,Nigeria,Australia,3,1,Nigeria,43,58,27.4,24.7,9,9,50.0,40.3,5,1,2,4
2002,Tunisia,Czech Republic,2,3,Czech Republic,41,99,27.5,30.4,7,8,42.6,47.3,2,7,2,0
2002,Poland,Morocco,0,1,Morocco,42,3,29.5,30.8,7,3,51.6,52.0,7,9,4,4
2002,Denmark,Uruguay,1,0,Denmark,50,80,28.5,27.3,1,3,46.0,57.0,2,9,2,2
2002,South Korea,Iran,4,1,South Korea,84,69,27.6,29.0,2,2,40.7,57.8,1,3,0,1
2002,Cameroon,Australia,3,2,Cameroon,40,85,23.7,27.4,4,5,52.7,49.7,7,6,0,1
2002,Iran,Czech Republic,1,0,Iran,39,10,25.1,24.3,4,4,57.2,54.6,5,7,3,2
2002,Ghana,Argentina,1,1,Draw,23,83,26.8,26.2,3,7,46.9,46.3,1,9,3,3
2002,Russia,Mexico,3,4,Mexico,96,25,27.2,27.3,7,4,47.8,46.8,4,2,4,0
2002,Sweden,Saudi Arabia,2,0,Sweden,52,68,24.7,26.1,8,9,57.8,43.9,4,8,4,0
2002,Brazil,Switzerland,1,3,Switzerland,47,61,31.8,26.6,2,2,56.3,51.2,7,7,4,1
2002,Ghana,Saudi Arabia,2,0,Ghana,63,29,30.0,26.8,4,6,54.3,46.3,9,4,0,1
2002,England,Netherlands,0,0,Draw,97,19,28.2,26.8,3,7,45.0,41.7,2,2,2,1
2006,Portugal,Czech Republic,0,2,Czech Republic,69,43,27.1,27.1,2,4,58.2,53.7,1,8,4,2
2006,Cameroon,Brazil,0,1,Brazil,43,66,26.6,24.9,6,6,43.1,54.2,2,5,4,3
2006,Brazil,Argentina,1,1,Draw,48,74,25.1,25.6,4,7,52.5,47.2,7,6,0,0
2006,Netherlands,Mexico,0,3,Mexico,34,61,27.2,24.4,6,4,40.6,41.5,6,7,0,4
2006,Cameroon,Saudi Arabia,3,0,Cameroon,40,43,27.5,29.0,2,8,52.9,48.5,4,1,0,2
2006,Croatia,Ghana,2,0,Croatia,75,25,24.5,22.8,4,9,45.5,48.8,1,8,2,0
2006,Japan,Ecuador,5,1,Japan,61,20,27.7,29.3,6,1,49.0,53.4,1,4,4,3
2006,Netherlands,Greece,4,1,Netherlands,50,48,26.7,29.8,5,7,46.9,46.3,5,9,1,2
2006,Paraguay,Spain,1,1,Draw,67,83,23.2,26.4,3,9,43.5,53.7,1,1,1,0
2006,Paraguay,Costa Rica,3,2,Paraguay,62,87,25.3,21.8,8,5,52.4,57.4,7,2,4,2
2006,Ecuador,Poland,1,0,Ecuador,58,24,26.2,26.3,7,2,57.6,44.7,1,6,4,0
2006,Italy,Denmark,1,1,Draw,33,11,30.8,26.9,3,6,59.2,59.6,1,1,4,0
2006,Czech Republic,Poland,0,0,Draw,75,98,28.1,25.0,6,7,43.8,47.7,2,4,4,3
2006,Saudi Arabia,Croatia,3,1,Saudi Arabia,16,55,24.3,26.0,4,2,54.3,45.3,3,8,2,4
2006,England,Ukraine,2,2,Draw,82,28,28.0,30.1,5,2,53.3,48.4,1,5,1,3
2006,Portugal,Senegal,2,1,Portugal,94,69,23.9,28.3,5,1,46.9,41.9,9,9,3,0
2006,Netherlands,Paraguay,3,1,Netherlands,48,63,29.2,25.2,7,4,40.4,42.5,8,6,1,2
2006,Belgium,Australia,2,3,Australia,10,59,26.1,23.8,5,7,53.8,48.3,5,1,1,3
2006,Colombia,Switzerland,3,0,Colombia,82,5,26.8,26.3,3,9,58.9,55.2,2,6,0,4
2006,Ecuador,South Korea,2,1,Ecuador,38,51,29.7,26.6,5,3,52.6,58.0,5,6,4,0
2006,Nigeria,USA,2,0,Nigeria,19,21,24.4,28.0,7,7,48.7,53.3,6,6,4,3
2006,Cameroon,Sweden,0,1,Sweden,36,12,24.2,25.9,5,7,50.5,42.1,1,8,4,3
2006,Ukraine,Turkey,2,2,Draw,59,50,25.8,28.0,5,7,44.0,53.4,4,6,0,3
2006,Paraguay,Brazil,0,0,Draw,63,4,29.1,30.9,9,2,55.0,52.7,9,5,2,3
2006,Tunisia,Argentina,0,1,Argentina,77,42,24.0,28.6,3,6,54.9,56.1,2,2,2,2
2006,Chile,Denmark,0,1,Denmark,46,84,21.3,26.9,6,2,42.9,56.5,5,4,3,4
2006,Morocco,Nigeria,0,6,Nigeria,3,38,26.1,26.6,1,6,57.6,57.4,1,5,2,4
2006,Paraguay,Croatia,2,2,Draw,74,25,28.1,26.3,5,3,45.4,48.3,4,4,2,0
2006,Brazil,Belgium,1,1,Draw,65,14,29.4,29.4,8,2,59.6,54.0,4,2,4,1
2006,Paraguay,Uruguay,1,0,Paraguay,91,75,26.1,25.7,5,6,47.7,45.4,6,7,1,2
2006,Ukraine,Costa Rica,1,0,Ukraine,8,32,26.2,27.1,9,2,43.6,60.0,9,2,2,0
2006,USA,Denmark,1,0,USA,51,11,29.3,27.1,6,5,47.0,43.5,3,1,2,0
2006,Argentina,Netherlands,3,0,Argentina,81,61,23.3,26.0,8,2,48.8,40.2,9,5,0,3
2006,Brazil,Greece,1,0,Brazil,73,18,26.2,24.3,8,3,41.4,43.0,6,1,3,1
2006,Italy,Belgium,0,1,Belgium,6,27,27.4,27.6,3,3,51.6,55.5,7,1,0,1
2006,Iran,Cameroon,1,1,Draw,89,55,27.9,26.9,7,6,52.0,48.9,2,1,4,2
2006,USA,Saudi Arabia,2,0,USA,39,54,26.0,28.0,7,6,54.8,49.0,6,6,1,1
2006,Czech Republic,Netherlands,6,2,Czech Republic,60,82,27.1,25.9,6,3,40.6,59.1,6,9,3,0
2006,Morocco,Saudi Arabia,0,2,Saudi Arabia,28,87,22.0,29.4,7,3,50.8,58.4,2,1,0,1
2006,Portugal,Senegal,2,2,Draw,97,75,25.7,25.2,2,1,41.1,46.2,2,5,2,1
2006,Sweden,Iran,1,2,Iran,54,21,27.9,30.4,9,7,54.0,44.2,2,9,2,4
2006,Sweden,Netherlands,0,1,Netherlands,37,44,25.0,23.5,1,8,41.1,57.0,1,9,3,0
2006,Iran,Saudi Arabia,1,2,Saudi Arabia,9,5,27.1,27.9,1,2,58.2,58.1,5,1,2,1
2006,Mexico,Saudi Arabia,4,0,Mexico,82,87,27.9,28.0,3,4,54.0,50.8,8,8,0,1
2006,Costa Rica,Ukraine,2,0,Costa Rica,56,41,26.3,25.4,3,7,50.1,52.6,2,1,0,3
2006,Czech Republic,Senegal,1,2,Senegal,59,59,27.3,27.8,1,8,48.8,45.1,5,8,2,1
2006,Costa Rica,Morocco,3,0,Costa Rica,85,89,25.1,29.6,7,1,42.6,56.0,8,1,2,1
2006,France,Japan,2,1,France,2,54,26.6,22.6,4,4,45.8,52.6,5,5,4,4
2006,Serbia,Portugal,3,1,Serbia,61,74,28.2,28.0,2,6,57.4,50.1,2,8,1,0
2006,Ukraine,Ecuador,1,1,Draw,58,22,27.3,22.0,5,3,58.1,41.2,3,6,3,2
2006,Nigeria,Switzerland,0,2,Switzerland,60,83,25.8,25.1,6,5,40.0,58.3,6,9,0,0
2006,Czech Republic,Mexico,1,1,Draw,40,65,27.4,30.3,9,9,51.9,52.3,5,1,3,3
2006,Sweden,Saudi Arabia,3,0,Sweden,36,64,28.4,25.8,4,3,54.4,43.9,4,9,4,0
2006,Russia,Russia,1,3,Russia,37,71,22.9,24.7,2,5,52.4,52.1,4,1,0,1
2006,Senegal,Mexico,1,1,Draw,79,4,29.3,26.6,5,8,41.6,53.5,5,3,4,3
2006,Mexico,Paraguay,2,0,Mexico,92,65,26.3,31.1,3,6,44.4,50.5,2,1,4,0
2006,Costa Rica,Spain,2,2,Draw,18,15,27.9,23.3,2,4,45.0,54.4,9,3,2,3
2006,England,South Korea,4,0,England,98,76,29.4,24.9,1,8,56.6,51.6,2,2,3,2
2006,Chile,Italy,3,2,Chile,63,22,24.3,30.0,2,3,49.3,59.0,2,2,3,0
2006,Saudi Arabia,Ghana,1,2,Ghana,22,86,25.6,30.7,6,3,49.7,41.1,9,9,2,1
2006,Germany,Germany,0,0,Draw,11,47,26.4,26.8,8,4,58.7,42.1,3,8,3,3
2006,Spain,Uruguay,0,2,Uruguay,58,81,25.4,24.5,3,9,52.7,43.5,7,1,2,4
2006,Saudi Arabia,Serbia,1,1,Draw,57,93,30.5,31.2,9,5,58.0,53.8,4,4,0,3
2006,Saudi Arabia,Italy,1,1,Draw,77,46,25.3,30.2,9,8,49.1,52.9,6,1,4,4
2006,Switzerland,Ecuador,1,1,Draw,4,14,25.9,28.4,2,6,43.0,57.8,4,1,4,1
2006,Serbia,Brazil,4,1,Serbia,86,50,27.4,25.4,8,3,58.6,54.7,7,4,3,2
2006,Croatia,South Korea,1,2,South Korea,7,20,24.6,26.9,5,8,49.2,50.2,1,2,1,4
2006,Saudi Arabia,Costa Rica,1,2,Costa Rica,61,50,26.2,26.7,4,9,43.6,59.8,3,3,4,2
2006,Ghana,Croatia,2,1,Ghana,54,33,27.6,27.7,5,8,46.0,45.3,3,9,2,3
2006,Czech Republic,Poland,0,0,Draw,88,59,26.3,29.9,4,4,41.0,56.7,1,2,1,1
2006,Ecuador,Iran,0,1,Iran,68,43,26.8,28.8,8,6,49.4,48.5,6,4,1,4
2006,Brazil,Ghana,1,0,Brazil,92,79,25.9,24.8,4,1,57.1,53.0,9,1,4,3
2006,Morocco,Chile,0,1,Chile,79,12,24.0,29.8,6,4,58.7,54.5,8,2,4,0
2006,Mexico,Morocco,1,3,Morocco,1,40,27.6,27.6,2,8,58.7,52.7,7,5,4,3
2006,Argentina,Mexico,1,0,Argentina,55,20,30.5,28.4,5,1,42.5,42.8,8,1,2,2
2006,Czech Republic,Ecuador,1,1,Draw,3,94,27.0,29.9,6,3,47.6,48.9,6,7,1,1
2006,Spain,Colombia,2,2,Draw,78,38,27.5,24.8,5,1,40.6,51.2,9,4,3,1
2006,Netherlands,Paraguay,0,1,Paraguay,38,3,28.4,26.9,2,9,57.1,57.0,3,6,2,3
2006,Morocco,Brazil,2,2,Draw,1,28,24.5,25.9,7,2,47.2,48.9,9,8,0,0
2006,Portugal,Poland,2,1,Portugal,38,56,30.4,23.9,4,9,52.6,58.4,4,6,4,2
2010,Ukraine,Spain,3,4,Spain,85,90,27.4,27.7,8,4,54.3,48.8,7,2,1,3
2010,Ecuador,Saudi Arabia,0,2,Saudi Arabia,29,94,30.3,32.0,7,2,48.6,51.0,9,1,2,3
2010,Cameroon,Japan,4,1,Cameroon,5,13,25.5,23.3,7,4,46.1,55.9,2,8,0,1
2010,Sweden,Italy,2,3,Italy,74,77,30.6,26.9,9,6,59.2,51.7,2,8,2,2
2010,Costa Rica,Turkey,3,2,Costa Rica,92,66,28.6,28.3,1,7,59.3,59.2,9,9,2,0
2010,Costa Rica,Italy,0,1,Italy,21,37,28.1,27.2,6,3,45.8,53.2,3,6,3,1
2010,Cameroon,Greece,0,2,Greece,71,49,27.5,26.8,6,3,49.6,50.5,9,1,3,3
2010,Belgium,Argentina,2,3,Argentina,67,66,26.5,24.4,6,8,59.5,40.5,5,9,2,1
2010,Czech Republic,Nigeria,3,0,Czech Republic,47,36,29.4,27.5,6,5,40.1,48.3,6,3,0,1
2010,Germany,Ukraine,2,0,Germany,84,54,27.3,25.5,7,4,48.3,46.0,2,6,1,4
2010,Argentina,Ukraine,0,0,Draw,83,26,23.1,22.6,6,7,42.0,55.0,8,9,1,1
2010,Ukraine,Uruguay,2,0,Ukraine,35,75,24.8,29.4,1,7,50.2,44.2,9,3,4,1
2010,Japan,Uruguay,5,2,Japan,68,72,26.6,28.9,3,9,40.5,44.1,2,5,4,2
2010,Germany,Australia,1,4,Australia,69,40,27.6,27.1,2,9,48.1,43.8,6,5,1,1
2010,Germany,Japan,2,1,Germany,1,43,26.9,27.5,6,5,44.4,42.5,6,7,2,0
2010,Saudi Arabia,Poland,3,2,Saudi Arabia,68,22,29.4,29.1,8,8,50.7,46.2,8,4,2,3
2010,Nigeria,USA,1,0,Nigeria,12,20,23.1,27.4,3,1,59.9,57.7,5,4,3,2
2010,Ukraine,Portugal,0,2,Portugal,60,8,27.3,28.8,8,9,56.0,55.5,9,7,3,1
2010,Costa Rica,Brazil,0,2,Brazil,27,29,23.4,26.4,8,8,56.9,54.7,1,9,4,0
2010,Ecuador,Mexico,0,0,Draw,56,40,28.5,29.6,5,6,52.7,55.9,9,4,1,3
2010,Brazil,France,2,2,Draw,23,90,26.8,27.6,8,3,40.8,45.4,7,4,2,2
2010,Australia,Brazil,2,0,Australia,25,30,27.8,27.4,6,3,44.1,57.7,4,6,1,0
2010,Germany,Tunisia,1,1,Draw,21,81,25.3,24.5,5,8,58.5,42.7,3,6,0,1
2010,Iran,Costa Rica,1,2,Costa Rica,61,84,29.6,27.6,9,5,47.3,46.7,6,7,1,4
2010,Costa Rica,Colombia,2,1,Costa Rica,63,55,29.1,25.3,7,7,42.1,51.7,1,1,0,4
2010,Spain,Saudi Arabia,1,1,Draw,52,16,28.2,25.7,8,5,54.0,42.1,3,3,3,2
2010,Costa Rica,Turkey,0,1,Turkey,88,46,26.7,25.4,1,8,46.0,54.6,2,9,3,0
2010,France,Netherlands,1,1,Draw,25,62,28.2,24.9,2,4,45.4,47.7,9,6,4,3
2010,Croatia,Czech Republic,3,1,Croatia,55,7,25.6,31.2,8,2,60.0,55.7,3,6,1,0
2010,Japan,Iran,2,2,Draw,46,80,28.7,29.7,9,3,57.2,49.9,2,5,1,4
2010,Greece,Colombia,6,1,Greece,32,45,30.3,30.8,4,8,48.2,43.6,4,3,0,2
2010,Cameroon,Argentina,1,0,Cameroon,55,59,29.1,24.6,9,7,59.6,54.7,2,5,3,1
2010,Italy,Belgium,0,2,Belgium,96,56,25.5,27.1,4,2,53.0,45.0,1,1,0,0
2010,Colombia,Brazil,1,0,Colombia,5,48,27.7,24.4,9,6,54.8,49.8,6,3,3,4
2010,Spain,Italy,1,3,Italy,36,27,24.4,25.6,7,9,40.6,41.5,8,4,0,3
2010,Chile,Serbia,3,1,Chile,49,53,28.1,25.2,2,4,42.4,52.4,2,5,3,2
2010,Croatia,Serbia,2,0,Croatia,58,87,27.9,29.5,9,9,52.7,53.3,9,9,0,1
2010,Denmark,Japan,2,1,Denmark,39,88,23.3,26.2,4,2,58.0,47.6,3,4,3,0
2010,Ecuador,Nigeria,1,2,Nigeria,80,73,24.7,29.1,8,2,52.5,59.1,8,3,0,3
2010,Portugal,Sweden,2,0,Portugal,97,35,26.4,28.2,7,9,42.7,57.5,8,1,1,1
2010,Spain,Ukraine,2,0,Spain,85,51,26.4,31.6,7,7,42.3,54.2,3,6,4,4
2010,Denmark,Poland,3,2,Denmark,61,84,24.6,24.0,8,7,56.9,54.3,3,7,0,4
2010,Russia,USA,3,1,Russia,9,37,27.8,29.5,1,1,42.8,45.0,6,8,4,3
2010,Argentina,Germany,3,1,Argentina,6,81,27.5,29.3,5,6,50.4,53.1,1,1,1,4
2010,Switzerland,Croatia,3,2,Switzerland,35,95,26.6,25.1,2,7,40.7,44.0,4,4,1,2
2010,Senegal,Czech Republic,0,1,Czech Republic,39,57,25.5,29.0,2,6,41.6,42.9,1,5,3,3
2010,Australia,Greece,0,2,Greece,22,8,29.1,27.7,1,6,53.4,60.0,3,2,4,4
2010,Iran,Colombia,2,1,Iran,41,79,30.3,26.5,5,2,53.8,52.4,9,1,2,0
2010,Argentina,Greece,2,0,Argentina,5,95,26.0,25.4,2,6,46.8,48.6,5,8,3,4
2010,Australia,Colombia,1,4,Colombia,42,94,25.8,25.6,4,4,44.3,45.8,5,6,4,2
2010,Switzerland,South Korea,3,0,Switzerland,87,20,28.0,31.1,3,9,56.3,52.1,4,5,0,1
2010,Costa Rica,Serbia,0,0,Draw,81,53,26.3,27.0,3,1,44.3,41.0,3,9,0,1
2010,England,Sweden,0,1,Sweden,76,12,26.7,28.6,2,8,50.8,41.9,5,2,1,4
2010,Ecuador,Morocco,1,2,Morocco,87,49,28.5,25.4,6,5,59.4,40.7,4,8,2,1
2010,Tunisia,Colombia,2,2,Draw,80,17,23.2,25.4,2,1,43.0,50.0,8,9,0,4
2010,Czech Republic,Greece,1,2,Greece,67,64,29.6,29.2,8,4,58.8,52.0,4,1,4,2
2010,South Korea,Ecuador,1,2,Ecuador,30,42,27.1,24.3,8,1,43.7,41.2,8,7,4,1
2010,Tunisia,Cameroon,1,1,Draw,57,94,26.2,26.2,5,6,51.3,54.4,6,8,0,0
2010,Brazil,Sweden,3,2,Brazil,86,29,26.8,27.1,7,2,47.5,44.6,5,3,4,4
2010,Croatia,Serbia,3,1,Croatia,73,19,26.9,27.2,4,5,59.3,53.7,4,4,4,1
2010,Saudi Arabia,Japan,2,2,Draw,29,11,23.5,26.6,1,7,45.5,59.6,4,3,1,2
2010,Ghana,Italy,2,3,Italy,37,98,30.0,27.8,2,2,48.0,53.8,4,7,2,2
2010,Nigeria,Russia,3,2,Nigeria,87,50,27.1,28.4,4,6,59.7,57.7,9,9,1,0
2010,Turkey,France,1,1,Draw,13,71,27.9,28.5,1,6,50.7,59.0,4,3,2,2
2010,Serbia,Uruguay,2,2,Draw,32,58,28.9,25.0,8,5,50.1,49.7,9,6,4,2
2010,Paraguay,Japan,2,2,Draw,46,34,25.0,26.4,9,5,45.2,54.0,6,8,2,1
2010,England,Uruguay,2,3,Uruguay,23,20,27.9,29.4,4,3,54.0,57.0,7,6,4,4
2010,Denmark,Japan,1,2,Japan,45,50,26.5,28.8,3,2,40.3,47.1,3,2,4,3
2010,Iran,Switzerland,1,1,Draw,17,88,28.7,24.3,2,7,41.0,45.2,8,7,1,2
2010,Germany,Cameroon,2,1,Germany,85,10,22.7,27.7,5,1,52.0,58.9,3,2,1,2
2010,Brazil,Italy,1,2,Italy,66,32,26.8,23.0,3,6,46.8,54.5,1,2,3,3
2010,Belgium,Colombia,1,2,Colombia,6,52,25.8,27.1,7,6,59.1,44.4,5,2,0,2
2010,Italy,Spain,2,1,Italy,18,15,27.9,30.8,6,3,58.1,49.0,2,1,3,1
2010,Ukraine,Germany,2,2,Draw,94,84,27.9,25.1,1,2,54.3,55.9,6,1,3,1
2010,Costa Rica,Mexico,1,1,Draw,22,3,25.6,25.3,8,2,56.4,50.9,9,7,2,3
2010,Portugal,Croatia,2,0,Portugal,33,37,25.6,28.5,2,9,53.3,53.0,1,5,4,2
2010,Paraguay,Nigeria,2,1,Paraguay,30,40,26.8,23.9,5,5,42.5,55.1,4,3,4,2
2010,Australia,Denmark,3,0,Australia,81,72,25.2,25.7,9,7,55.3,52.4,1,1,4,4
2010,Denmark,Turkey,1,1,Draw,32,40,28.7,28.2,8,5,44.2,50.8,1,6,0,2
2010,Argentina,Croatia,1,0,Argentina,42,56,26.3,25.7,2,7,46.5,55.0,8,1,2,1
2014,Switzerland,Denmark,3,1,Switzerland,78,23,21.2,26.5,9,4,56.4,54.6,2,9,2,0
2014,Cameroon,Netherlands,3,3,Draw,10,11,26.3,28.5,5,8,50.7,52.6,1,2,4,0
2014,Ecuador,France,1,2,France,36,64,24.9,27.8,6,7,57.2,47.2,8,1,3,0
2014,Cameroon,Tunisia,1,2,Tunisia,34,8,23.7,27.5,3,5,44.3,48.1,4,7,0,0
2014,Croatia,France,1,4,France,73,93,24.5,26.3,3,6,52.2,59.4,3,6,3,2
2014,Netherlands,Ghana,0,1,Ghana,28,94,27.2,27.7,8,5,41.7,42.2,4,6,1,2
2014,Senegal,Argentina,0,0,Draw,11,56,29.7,26.8,2,7,52.9,45.4,5,5,2,4
2014,Greece,Costa Rica,0,0,Draw,78,60,27.6,27.9,2,2,55.3,49.8,1,4,2,2
2014,Tunisia,Argentina,2,1,Tunisia,39,10,25.8,26.0,5,5,51.7,56.7,1,4,3,0
2014,Switzerland,Morocco,2,0,Switzerland,47,39,27.9,26.6,6,3,45.3,43.3,3,3,0,3
2014,Paraguay,Russia,2,0,Paraguay,19,28,26.1,25.0,2,9,40.6,45.5,6,8,2,3
2014,Ghana,Costa Rica,1,5,Costa Rica,15,49,25.6,26.9,5,6,42.4,41.3,1,7,3,1
